DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-05-01 11:17:25 | 0         | 1        | 1           | 00:08:00    | 00:00:19    |
2023-05-01 11:18:14 | 2         | 1        | 1           | 00:08:00    | 00:00:11    |
2023-05-01 11:18:37 | 0         | 1        | 2           | 00:08:00    | 00:01:31    |
2023-05-01 11:19:25 | 1         | 1        | 1           | 00:08:00    | 00:00:20    |
2023-05-01 11:19:47 | 2         | 1        | 2           | 00:08:00    | 00:01:44    |
2023-05-01 11:20:39 | 3         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-05-01 11:21:01 | 1         | 1        | 2           | 00:08:00    | 00:01:56    |
2023-05-01 11:25:43 | 0         | 1        | 4           | 00:08:00    | 00:08:11    |
2023-05-01 11:29:30 | 2         | 1        | 4           | 00:08:00    | 00:11:27    |
2023-05-01 11:32:29 | 1         | 1        | 4           | 00:08:00    | 00:13:24    |
2023-05-01 11:33:56 | 3         | 1        | 4           | 00:08:00    | 00:13:28    |
2023-05-01 11:35:21 | 0         | 1        | 1           | 00:08:00    | 00:00:19    |
2023-05-01 11:36:10 | 2         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-05-01 11:36:33 | 0         | 1        | 2           | 00:08:00    | 00:01:31    |
2023-05-01 11:38:42 | 3         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-05-01 11:45:13 | 0         | 1        | 4           | 00:08:00    | 00:10:11    |
2023-05-01 11:46:02 | 2         | 1        | 4           | 00:08:00    | 00:10:02    |
2023-05-01 11:46:56 | 1         | 1        | 4           | 00:08:00    | 00:09:54    |
2023-05-01 11:47:52 | 3         | 1        | 4           | 00:08:00    | 00:09:21    |
2023-05-01 11:49:06 | 0         | 1        | 1           | 00:08:00    | 00:00:19    |
2023-05-01 11:49:55 | 2         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-05-01 11:50:18 | 0         | 1        | 2           | 00:08:00    | 00:01:32    |
2023-05-01 11:51:06 | 1         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-05-01 11:51:29 | 2         | 1        | 2           | 00:08:00    | 00:01:44    |
2023-05-01 11:52:20 | 3         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-05-01 11:52:43 | 1         | 1        | 2           | 00:08:00    | 00:01:48    |
2023-05-01 15:23:27 | 0         | 1        | 1           | 00:08:00    | 00:00:19    |
2023-05-01 15:25:07 | 2         | 1        | 1           | 00:08:00    | 00:00:10    |
